TaxonID	TaxonRank	ScientificName	Author	SpeciesID	SpeciesScientificName	SpeciesAuthor	VernacularFI	AlternativeFI	VernacularEN
MX.5084670	heimo 	Myxinidae							
		Myxine	Linnaeus, 1758		Myxine glutinosa 	Linnaeus, 1758	limaaja		
		Myxine			Myxine ios 	Fernholm, 1981	valkopäälimaaja		
MX.53083	heimo 	Petromyzontidae							
		Caspiomyzon	Berg, 1906		Caspiomyzon graecus	(Renaud & Economidis, 2010)	epeiroksennahkiainen		
		Caspiomyzon			Caspiomyzon hellenicus 	Vladykov, Renaud, Kott & Economidis, 1982 	kreikannahkiainen		
		Caspiomyzon			Caspiomyzon wagneri 	(Kessler, 1870) 	kaspiannahkiainen		
		Eudontomyzon	Regan, 1911		Eudontomyzon danfordi 	Regan, 1911 	karpaattiennahkiainen	tonavannahkiainen	Carpathian lamprey
		Eudontomyzon			Eudontomyzon mariae 	(Berg, 1931) 	ukrainannahkiainen		
		Eudontomyzon			Eudontomyzon stankokaramani 	Karaman, 1974 	balkaninnahkiainen		
		Eudontomyzon			Eudontomyzon vladykovi 	Oliva & Zanandrea, 1959 	tonavannahkiainen		
MX.53290		Lampetra	Lampetra Bonnaterre, 1788	MX.53084	Lampetra fluviatilis 	(Linnaeus, 1758)	nahkiainen		
MX.53290		Lampetra		MX.53256	Lampetra planeri 	(Bloch, 1784)	pikkunahkiainen		
MX.53290		Lampetra			Lampetra zanandreai 	Vladykov, 1955	italiannahkiainen		
		Lethenteron	Creaser & Hubbs, 1922		Lethenteron camtschaticum 	(Tilesius, 1811)	idännahkiainen		
		Lethenteron			Lethenteron ninae 	Naseka, Tuniyev & Renaid, 2009	kaukasiannahkiainen		
		Lethenteron			Lethenteron kessleri	(Anikin, 1905)	siperiannahkiainen		Siberian lamprey
MX.53085		Petromyzon	Linnaeus, 1758	MX.53086	Petromyzon marinus 	Linnaeus, 1758	merinahkiainen		
MX.5086291	heimo 	Hexanchidae							
		Heptranchias	Rafinesque, 1810		Heptranchias perlo 	(Bonnaterre, 1788)	kapeapäähai		
		Hexanchus	Rafinesque, 1810		Hexanchus griseus 	(Bonnaterre, 1788)	kidushai		
		Hexanchus			Hexanchus nakamurai 	Teng, 1962	pikkukidushai		
MX.5086292	heimo 	Chlamydoselachidae							
		Chlamydoselachus	Garman, 1884		Chlamydoselachus anguineus 	Garman, 1884	kaulushai		
MX.5086296	heimo 	Rhincodontidae							
		Rhincodon	Smith, 1829		Rhincodon typus 	Smith, 1828	valashai		
MX.5086302	heimo 	Ginglymostomatidae							
		Ginglymostoma	Müller & Henle, 1837		Ginglymostoma cirratum 	(Bonnaterre, 1788)	viiksihai		
MX.5086303	heimo 	Mitsukurinidae							
		Mitsukurina	Jordan, 1898		Mitsukurina owstoni 	Jordan, 1898	peikkohai		
MX.5086304	heimo	Carchariidae							
		Carcharias	Rafinesque, 1810		Carcharias taurus 	Rafinesque, 1810	hietahai		
MX.5086305	heimo 	Odontaspididae							
		Odontaspis	Agassiz, 1838		Odontaspis ferox	(Risso, 1810)	mustahietahai		
		Odontaspis			Odontaspis noronhai 	(Maul, 1955)	ruskohietahai		
MX.5086306	heimo 	Pseudocarchariidae							
		Pseudocarcharias	Cadenat, 1963		Pseudocarcharias kamoharai 	(Matsubara, 1936)	krokotiilihai		
MX.5086308	heimo 	Alopiidae							
		Alopias	Rafinesque, 1810		Alopias superciliosus 	(Lowe, 1841)	isosilmäkettuhai		
		Alopias			Alopias vulpinus 	(Bonnaterre, 1788)	kettuhai		
MX.5086309	heimo 	Cetorhinidae							
		Cetorhinus	Blainville, 1816		Cetorhinus maximus 	(Gunnerus, 1765)	jättiläishai		
MX.53291	heimo 	Lamnidae							
		Carcharodon	Smith, 1838		Carcharodon carcharias 	(Linnaeus, 1758)	valkohai		
MX.53327		Lamna	Cuvier, 1816	MX.53089	Lamna nasus 	(Bonnaterre, 1788)	sillihai		
		Isurus	Rafinesque, 1810		Isurus oxyrinchus 	Rafinesque, 1810	makrillihai		
		Isurus			Isurus paucus 	Guitart Manday, 1966	makohai		
MX.5086312	heimo	Pentanchidae							
		Apristurus	Garman, 1913		Apristurus aphyodes 	Nakaya & Stehmann, 1998	hämyaavehai		white ghost catshark
		Apristurus			Apristurus laurussonii 	(Saemundsson, 1922)	ruskoaavehai	islanninkissahai	Iceland catshark
		Apristurus			Apristurus manis 	(Springer,, 1979)	paksuaavehai		
		Apristurus			Apristurus melanoasper 	Iglésias, Nakaya & Stehmann, 2004	tumma-aavehai		
		Apristurus			Apristurus microps 	(Gilchrist, 1922)	tihruaavehai		smalleye catshark
		Galeus	Rafinesque, 1810		Galeus atlanticus 	(Vaillant, 1888)	atlantinkissahai		
		Galeus			Galeus melastomus 	Rafinesque, 1810	rengaskissahai		
		Galeus			Galeus murinus 	(Collett, 1904)	islanninkissahai	pohjankissahai	
MX.5086310	heimo 	Scyliorhinidae							
		Scyliorhinus	Blainville, 1816		Scyliorhinus canicula 	(Linnaeus, 1758)	pistepunahai		
		Scyliorhinus			Scyliorhinus stellaris 	(Linnaeus, 1758)	täpläpunahai		
MX.5086313	heimo 	Pseudotriakidae							
		Pseudotriakis	de Brito Capello, 1868		Pseudotriakis microdon 	de Brito Capello, 1868	okahammashai		
MX.5086315	heimo 	Leptochariidae							
		Leptocharias	Smith, 1838		Leptocharias smithii 	(Müller & Henle, 1839)	hiirihai		
MX.5086316	heimo 	Triakidae							
		Galeorhinus	de Blainville, 1816		Galeorhinus galeus 	(Linnaeus, 1758)	harmaakoirahai		
		Mustelus	de Blainville, 1816		Mustelus asterias 	Cloquet, 1821	tähtikoirahai		
		Mustelus			Mustelus mustelus 	(Linnaeus, 1758)	silokoirahai		
		Mustelus			Mustelus punctulatus 	Risso, 1827	pilkkukoirahai		
MX.5086317	heimo 	Hemigaleidae							
		Paragaleus	Budker, 1935		Paragaleus pectoralis 	(Garman, 1906)	atlantinkärppähai		
MX.5086318	heimo 	Carcharhinidae							
		Carcharhinus	Blainville, 1816		Carcharhinus altimus 	(Springer, 1950)	isokuonohai		
		Carcharhinus			Carcharhinus amboinensis 	(Müller & Henle, 1839)	savuhai		
		Carcharhinus			Carcharhinus brachyurus 	(Günther, 1870)	kuparihai		
		Carcharhinus			Carcharhinus brevipinna 	(Müller & Henle, 1839)	pyörijähai		
		Carcharhinus			Carcharhinus falciformis 	(Müller & Henle, 1839)	haukkahai		
		Carcharhinus			Carcharhinus galapagensis	(Snodgrass & Heller, 1905)	sysihai		
		Carcharhinus			Carcharhinus isodon 	(Müller & Henle, 1839)	tasahammashai		
		Carcharhinus			Carcharhinus leucas 	(Müller & Henle, 1839)	härkähai		
		Carcharhinus			Carcharhinus limbatus 	(Müller & Henle, 1839)	mustapilkkahai		
		Carcharhinus			Carcharhinus longimanus 	(Poey, 1861)	valkopilkkahai		
		Carcharhinus			Carcharhinus melanopterus 	(Quoy & Gaimard, 1824)	mustaevähai		
		Carcharhinus			Carcharhinus obscurus 	(Lesueur, 1818)	sumuhai		
		Carcharhinus			Carcharhinus plumbeus 	(Nardo, 1827)	ruskohai		
		Carcharhinus			Carcharhinus signatus 	(Poey, 1868)	yöhai		
		Galeocerdo	Müller & Henle, 1837		Galeocerdo cuvier 	(Péron & Lesueur, 1822)	tiikerihai		
