TaxonID	rank	taxon	author	vernacularFI	obsoleteFI	informalgroup	
MX.5086700	lahko	Cichliformes		kirjoahvenkalat			
							
MX.5086707	heimo	Cichlidae		kirjoahvenet 			
MX.5086711	alaheimo	Cichlinae	Bonaparte, 1835	amerikankirjoahvenet 		MVL.1284	
	tribe	Retroculini		koskitonkijat			
	suku	Retroculus	Eigenmann & Bray, 1894				
		Retroculus acherontos 	Landim, Moreira & Figueiredo, 2015	kyhmykoskitonkija		MVL.1285	
		Retroculus lapidifer	(Castelnau, 1855)	koskitonkija		MVL.1285	
		Retroculus septentrionalis 	Gosse, 1971	vuollekoskitonkija		MVL.1285	
		Retroculus xinguensis	Gosse, 1971	viherkoskitonkija		MVL.1285	
	tribe	Cichlini		kiklat			
	suku	Cichla	Bloch & Schneider, 1801				
		Cichla kelberi	Kullander & Ferreira, 2006	pilkkueväkikla		MVL.1285	
		Cichla monoculus	Agassiz, 1831	satulakikla		MVL.1285	
		Cichla nigromaculata 	Jardine & Schomburgk, 1843	mustaeväkikla		MVL.1285	
		Cichla ocellaris	Bloch & Schneider, 1801	isokikla		MVL.1285	
		Cichla orinocensis	Humboldt, 1821	keltakikla		MVL.1285	
		Cichla pinima	Kullander & Ferreira, 2006	hunajakikla		MVL.1285	
		Cichla piquiti 	Kullander & Ferreira, 2006	seeprakikla		MVL.1285	
		Cichla pleiozona 	Kullander & Ferreira, 2006	raitakikla		MVL.1285	
		Cichla temensis	Humboldt, 1821	helmikikla		MVL.1285	
	tribe 	Chaetobranchini					
	suku	Chaetobranchopsis	Steindachner, 1875				
		Chaetobranchopsis australis 	Eigenmann & Ward, 1907	etelänseuloja-ahven		MVL.1285	
		Chaetobranchopsis orbicularis 	(Steindachner, 1875)	seuloja-ahven		MVL.1285	
		Chaetobranchus flavescens 	Heckel, 1840	keltaseuloja-ahven		MVL.1285	
		Chaetobranchus semifasciatus 	Steindachner, 1875	kiilaseuloja-ahven		MVL.1285	
	tribe	Geophagini					
	suku	Crenicichla	Heckel, 1840	sukkula-ahvenet			
		Crenicichla acutirostris	Günther, 1862	pienasukkula-ahven		MVL.1285	
		Crenicichla albopunctata	Pellegrin, 1904	helmisukkula-ahven		MVL.1285	
		Crenicichla alta	Eigenmann, 1912	tähtisukkula-ahven		MVL.1285	
		Crenicichla anthurus	Cope, 1872	perunsukkula-ahven		MVL.1285	
		Crenicichla cametana	Steindachner, 1911	tummasukkula-ahven		MVL.1285	
		Crenicichla cincta	Regan, 1905	kalterisukkula-ahven		MVL.1285	
		Crenicichla compressiceps	Ploeg, 1986	kultaraitasukkula-ahven		MVL.1285	
		Crenicichla cyanonotus	Cope, 1870	tulieväsukkula-ahven		MVL.1285	
		Crenicichla cyclostoma	Ploeg, 1986	leukasukkula-ahven		MVL.1285	
		Crenicichla frenata	Gill, 1858	ohjassukkula-ahven		MVL.1285	
		Crenicichla geayi	Pellegrin, 1903	keltavatsasukkula-ahven		MVL.1285	
		Crenicichla heckeli	Ploeg, 1989	sirosukkula-ahven		MVL.1285	
