TaxonID	TaxonRank	ScientificName	Author	ParentTaxonID	ParentScientificName	VernacularFI	AlternativeFI	ColloquialVernacularNameFI		#NOTES
	suku	Benincasa	Savi	MX.38342	Cucurbitaceae	vahakurpitsat				
		Benincasa hispida	(Thunb.) Cogn.		Benincasa	valkovahakurpitsa				
		Carya illinoinensis	(Wangenh.) K. Koch	MX.5023391	Carya	pekaanipähkinä	pekaanihikkori			
		Citrus hystrix	DC.	MX.41819	Citrus	ryppylimetti		ryppylimetti		
		Citrus reticulata	Blanco	MX.41819	Citrus	mandariini				
	nothospecies	Citrus ×aurantium	L.	MX.41819	Citrus	isositrus				
	nothospecies	Citrus ×junos	Siebold ex Yu.Tanaka	MX.41819	Citrus	juzu		juzu		
		Dahlia coccinea	Cav.	MX.4972088	Dahlia	hehkudaalia				
		Desmodium uncinatum	(Jacq.) DC.	MX.5023334	Desmodium	liilakatkopapu	katkopalko			
		Dioscorea alata	L.	MX.5009055	Dioscorea 	isojamssi				
		Diospyros kaki	Thunb.	MX.5009056	Diospyros	kaki				
		Diospyros lotus	L.	MX.5009056	Diospyros	taateliluumu				
		Diospyros mespiliformis	Hochst. ex A.DC.	MX.5009056	Diospyros	sansibarineebenpuu				
	suku	Erythroxylum	P.Browne	MX.4986453	Erythroxylaceae	kokapensaat				
		Erythroxylum coca	Lam.		Erythroxylum	aitokokapensas	kokapensas			
		Garcinia mangostana	L.	MX.5008980	Garcinia	punamangostani				
		Jasminum grandiflorum	L.	MX.5023465	Jasminum	aitojasmiini				
		Jasminum officinale	L.	MX.5023465	Jasminum	rohtojasmiini				
	suku	Melothria	L.	MX.38342	Cucurbitaceae	viidakkokurkut				
		Melothria pendula	L.		Melothria	riippaviidakkokurkku				
	suku	Nephelium	L.	MX.289481	Sapindaceae	rambutaanit				
		Nephelium lappaceum	L.		Nephelium	turrirambutaani	rambutaani			
		Oxalis tuberosa	Molina	MX.39129	Oxalis	mukulakäenkaali				
		Persicaria odorata	(Lour.) Soják	MX.38221	Persicaria	vihannestatar				
		Sicyos edulis	Jacq.	MX.41991	Sicyos	kajottikarvakurkku				Syn. Sechium edule
		Trichosanthes cucumerina	L.	MX.38342	Cucurbitaceae	käärmekurkku				
		Vigna radiata	(L.) R.Wilczek	MX.42964	Vigna	mungopapu				
		Actiniopteris dimorpha	Pic.Serm.	MX.5009087	Actiniopteris	sirosädesaniainen				
		Actiniopteris radiata	(Sw.) Link	MX.5009087	Actiniopteris	viuhkasädesaniainen				
		Alsophila dealbata	(G.Forst.) Corda	MX.5127951	Alsophila	hopeasulkasiipi				
		Alsophila dregei	(Kunze) R.M.Tryon	MX.5127951	Alsophila	vantterasulkasiipi				
		Azolla filiculoides subsp. cristata	(Kaulf.) Fraser-Jenk.	MX.5009387	Azolla filiculoides	meksikonnyppylimaskasaniainen	nyppylimaskasaniainen			
	suku	Dicksonia	L'Hér.	MX.4986307	Dicksoniaceae	rankasaniaiset				
		Dicksonia fibrosa	Colenso		Dicksonia	maorinrankasaniainen				
