TaxonID	#	rank	taxon	author	vernacularFI	obsoleteFI
MX.37606		pääjakso	Chordata		selkäjänteiset			
MX.37666		luokka	MYXINI		viiksiympyräsuiset			
MX.70311		lahko	Myxiniformes		limaajakalat			
MX.5084670		heimo	Myxinidae		limaajat			
		alaheimo	Rubicundinae					
		suku	Rubicundus	Fernholm et al., 2013				
			Rubicundus eos 	(Fernholm, 1991) 	rusolimaaja 			
		alaheimo	Eptatretinae					
		suku	Eptatretus	Cloquet, 1819				
			Eptatretus atami 	Dean, 1904 	ruskolimaaja 			
			Eptatretus burgeri 	Girard, 1855 	rantalimaaja 			
			Eptatretus caribbeaus 	Fernholm, 1982 	karibianlimaaja			
			Eptatretus carlhubbsi 	McMillan & Wisner, 1984 	jättilimaaja			
			Eptatretus chinensis 	Kuo & Mok, 1994 	kiinanlimaaja 			
			Eptatretus cirrhatus 	Forster, 1801 	rihmalimaaja 			
			Eptatretus deani 	Evermann & Goldsborough, 1907 	mustalimaaja 			
			Eptatretus fritzi 	Wisner & McMillan, 1990 	guadalupenlimaaja			
			Eptatretus goliath 	Mincarone & Stewart, 2006 	goljattilimaaja			
			Eptatretus grouseri 	McMillan, 1999 	galapagosinlimaaja			
			Eptatretus hexatrema 	Müller, 1836	kuusikiduslimaaja 			
			Eptatretus indrambaryai 	Wongratana, 1983 	bengalinlimaaja			
			Eptatretus longipinnis 	Strahan, 1975 	pitkäevälimaaja 			
			Eptatretus luzonicus 	Fernholm, Norén, Kullander, Quattrini, Zintzen, Roberts, Mok & Kuo 2013	luzoninlimaaja			
			Eptatretus mcconnaugheyi	Wisner & McMillan, 1990 	kalifornianlimaaja			
			Eptatretus multidens 	Fernholm & Hubbs, 1981 	monihammaslimaaja			
			Eptatretus nanii 	Wisner & McMillan, 1988 	valparaisonlimaaja			
			Eptatretus octatrema 	Barnard, 1923 	kahdeksankiduslimaaja 			
			Eptatretus polytrema 	Girard, 1855	monikiduslimaaja 			
			Eptatretus profundus 	Barnard, 1923 	viisikiduslimaaja 			
			Eptatretus springeri 	Bigelow & Schroeder, 1952 	lahtilimaaja 			
			Eptatretus stoutii 	Lockington, 1878 	tyynenmerenlimaaja 			
			Eptatretus taiwanae 	Shen & Tao, 1975 	taiwaninlimaaja 			
MX.5087587		suku	Myxine	Linnaeus, 1758				
			Myxine affinis 	Günther, 1870 	patagonianlimaaja 			
			Myxine australis 	Jenyns, 1842 	etelänlimaaja 			
			Myxine capensis 	Regan, 1913	kapinlimaaja 			
			Myxine circifrons 	Garman, 1899 	valkokuonolimaaja 			
			Myxine formosana 	Mok & Kuo, 2001	taiwaninlimaaja 			
MX.5087588			Myxine glutinosa 	Linnaeus, 1758 	limaaja 			
MX.5087590			Myxine ios 	Fernholm, 1981	valkopäälimaaja 			
		suku	Notomyxine	Nani & Gneri, 1951				
			Notomyxine tridentiger	(Garman, 1899) 	kolmipiikkilimaaja			
MX.37608		alajakso	Vertebrata		selkärankaiset			
		yläluokka	AGNATHA		leuattomat selkärankaiset			
MX.53081		luokka	PETROMYZONTI		ympyräsuiset			
MX.70303		lahko	Petromyzontiformes		nahkiaiskalat			
MX.53083		heimo	Petromyzontidae		nahkiaiset			
MX.5087591		suku	Caspiomyzon	Berg, 1906				
MX.5087592			Caspiomyzon graecus 	(Renaud & Economidis, 2010)	epeiroksennahkiainen			
MX.5087594			Caspiomyzon hellenicus 	(Vladykov, Renaud, Kott & Economidis, 1982)	kreikannahkiainen			
MX.5087596			Caspiomyzon wagneri	(Kessler, 1870)	kaspiannahkiainen			
		suku	Entosphenus	Gill, 1862				
			Entosphenus tridentatus 	(Richardson, 1836) 	beringinnahkiainen			
MX.5087597		suku	Eudontomyzon	Regan, 1911				
MX.5087598			Eudontomyzon danfordi 	Regan, 1911 	karpaattiennahkiainen 	tonavannahkiainen 		
MX.5087600			Eudontomyzon mariae 	(Berg, 1931) 	ukrainannahkiainen 			
MX.5087602			Eudontomyzon stankokaramani 	Karaman, 1974 	balkaninnahkiainen			
MX.5087604			Eudontomyzon vladykovi 	Oliva & Zanandrea, 1959 	tonavannahkiainen 	valakiannahkiainen		
		suku	Ichthyomyzon	Girard, 1858				
			Ichthyomyzon fossor 	Reighard & Cummins, 1916	pohjannahkiainen			
MX.53290		suku	Lampetra	Bonnaterre, 1788				
MX.53084			Lampetra fluviatilis 	(Linnaeus, 1758)	nahkiainen			
			Lampetra pacifica 	Vladykov, 1973 	oregoninnahkiainen			
MX.53256			Lampetra planeri 	(Bloch, 1784)	pikkunahkiainen 			
MX.5087605			Lampetra zanandreai 	Vladykov, 1955	italianahkiainen 			
MX.5087606		suku	Lethenteron	Creaser & Hubbs, 1922				
			Lethenteron alaskense 	Vladykov & Kott, 1978 	alaskannahkiainen			
			Lethenteron appendix 	(DeKay, 1842) 	amerikannahkiainen			
MX.5087607			Lethenteron camtschaticum 	(Tilesius, 1811) 	idännahkiainen			
MX.5087611			Lethenteron kessleri 	(Anikin, 1905) 	siperiannahkiainen			
MX.5087609			Lethenteron ninae 	Naseka, Tuniyev & Renaud, 2009 	kaukasianahkiainen			
MX.53085		suku	Petromyzon	Linnaeus, 1758				
MX.53086			Petromyzon marinus	Linnaeus, 1758	merinahkiainen			
		suku	Tetrapleurodon	Creaser & Hubbs, 1922				
			Tetrapleurodon spadiceus	(Bean, 1887) 	meksikonnahkiainen			
MX.5086289		heimo	Geotriidae		pussinahkiaiset			
		suku	Geotria	Gray, 1851				
			Geotria australis	Gray, 1851	pussinahkiainen			
MX.5086290		heimo	Mordaciidae		etelännahkiaiset			
		suku	Mordacia	Gray, 1851				
			Mordacia lapicida 	(Gray, 1851)	chilennahkiainen			
			Mordacia mordax  	(Richardson, 1846) 	australiannahkiainen 			
			Mordacia praecox 	Potter, 1968	turossinnahkiainen			
MX.53087		luokka	ELASMOBRANCHII		rustokalat			
MX.70306		lahko	Hexanchiformes		kaulushaikalat			
MX.5086291		heimo	Hexanchidae		kidushait			
MX.5087612		suku	Heptranchias	Rafinesque, 1810				
MX.5087613			Heptranchias perlo 	(Bonnaterre, 1788)	kapeapäähai			
MX.5087614		suku	Hexanchus	Rafinesque, 1810				
MX.5087615			Hexanchus griseus 	(Bonnaterre, 1788) 	kidushai			
MX.5087617			Hexanchus nakamurai 	Teng, 1962 	pikkukidushai			
MX.5108024			Hexanchus vitulus 	Daly-Engel, 2018	atlantinkidushai			
MX.5108025		suku	Notorynchus	Ayres, 1855				
MX.5108026			Notorynchus cepedianus 	(Péron, 1807)	täpläkidushai			
MX.5086292		heimo	Chlamydoselachidae					
MX.5087618		suku	Chlamydoselachus	Garman, 1884				
			Chlamydoselachus africana 	Ebert & Compagno, 2009 	afrikankaulushai			
MX.5087619			Chlamydoselachus anguineus 	Garman, 1884	kaulushai			
MX.5086293		lahko	Heterodontiformes		sarvihaikalat			
MX.5086294		heimo	Heterodontidae		sarvihait			
		suku	Heterodontus	Blainville, 1816				
			Heterodontus francisci 	(Girard, 1855) 	sarvihai			
			Heterodontus galeatus 	(Günther, 1870) 	töyhtösarvihai			
			Heterodontus japonicus 	(Maclay & Macleay, 1884) 	japaninsarvihai			
			Heterodontus mexicanus 	(Taylor & Castro-Aguirre, 1972) 	meksikonsarvihai			
			Heterodontus omanensis 	(Baldwin, 2005) 	omaninsarvihai			
			Heterodontus portusjacksoni 	(Meyer, 1793) 	australiansarvihai			
			Heterodontus quoyi 	(Fréminville, 1840) 	mustatäpläsarvihai			
			Heterodontus ramalheira 	(Smith, 1949) 	valkotäpläsarvihai			
			Heterodontus zebra 	(Gray, 1831)	seeprasarvihai			
MX.5086295		lahko	Orectolobiformes		partahaikalat			
MX.5086296		heimo	Rhincodontidae		valashait			
MX.5087620		suku	Rhincodon	Smith, 1829				
MX.5087621			Rhincodon typus	Smith, 1828	valashai			
MX.5086297		heimo	Parascylliidae		mattohait			
		suku	Cirrhoscyllium	Smith & Radcliffe, 1913				
			Cirrhoscyllium expolitum 	Smith & Radcliffe, 1913 	viiksimattohai			
			Cirrhoscyllium formosanum 	Teng, 1959 	taiwaninmattohai			
			Cirrhoscyllium japonicum 	Kamohara, 1943	satulamattohai			
		suku	Parascyllium	Gill, 1862				
			Parascyllium collare 	Ramsay & Ogilby, 1888 	kaulusmattohai			
			Parascyllium ferrugineum 	McCulloch, 1911 	ruostemattohai			
			Parascyllium variolatum 	Duméril, 1853 	kirjomattohai			
MX.5086298		heimo	Brachaeluridae		sokkohait			
		suku	Brachaelurus	Ogilby, 1907				
			Brachaelurus colcloughi 	Ogilby, 1908  	sinisokkohai			
			Brachaelurus waddi 	Bloch & Schneider, 1801	sokkohai			
MX.5086299		heimo	Orectolobidae		partahait			
		suku	Eucrossorhinus	Regan, 1908				
			Eucrossorhinus dasypogon	(Bleeker, 1867)	verkkopartahai			
		suku	Orectolobus	Bonaparte, 1834				
			Orectolobus floridus 	Last & Chidlow, 2008 	kukkapartahai			
			Orectolobus japonicus 	Regan, 1906 	japaninpartahai			
			Orectolobus maculatus 	(Bonnaterre, 1788) 	täpläpartahai			
			Orectolobus ornatus 	(De Vis, 1883) 	korupartahai			
		suku	Sutorectus	Whitley, 1939				
			Sutorectus tentaculatus	(Peters, 1864)	okapartahai			
MX.5086300		heimo	Hemiscylliidae		bambuhait			
		suku	Chiloscyllium	Müller & Henle, 1837				
			Chiloscyllium arabicum 	Gubanov, 1980 	ruskobambuhai			
			Chiloscyllium griseum 	Müller & Henle, 1838 	harmaabambuhai			
			Chiloscyllium indicum 	(Gmelin, 1789) 	sirobambuhai			
			Chiloscyllium plagiosum 	(Anonymous [Bennett], 1830)  	tähtibambuhai			
			Chiloscyllium punctatum 	Müller & Henle, 1838	pistebambuhai			
		suku	Hemiscyllium	Müller & Henle, 1838				
			Hemiscyllium freycineti 	(Quoy & Gaimard, 1824) 	pantteribambuhai			
			Hemiscyllium hallstromi 	Whitley, 1967 	laikkubambuhai			
			Hemiscyllium ocellatum 	(Bonnaterre, 1788) 	epolettihai			
			Hemiscyllium strahani 	Whitley, 1967 	huppubambuhai			
			Hemiscyllium trispeculare 	Richardson, 1843	kirjobambuhai			
MX.5086301		heimo	Stegostomatidae		seeprahait			
		suku	Stegostoma	Müller & Henle, 1837				
			Stegostoma fasciatum	(Hermann, 1783)	seeprahai			
