#	TaxonID	TaxonRank	ScientificName	Author	VernacularFI	AlternativeFI	VernacularEN	AlternativeEN
	MX.37606	pääjakso	CHORDATA		selkäjänteiset		Chordates
	MX.37608	alajakso	VERTEBRATA		selkärankaiset		Vertebrates
	MX.37666	luokka	MYXINI		viiksiympyräsuiset		Hagfishes
1	MX.70311	lahko	Myxiniformes		limaajakalat		Hagfishes
	MX.5084670	heimo	Myxinidae	Rafinesque, 1815	limaajat		Hagfishes
	MX.53081	luokka	PETROMYZONTI		ympyräsuiset		Lampreys
2	MX.70303	lahko	Petromyzontiformes		nahkiaiskalat		Lampreys
	MX.53083	heimo	Petromyzontidae	Bonaparte, 1831	nahkiaiset		Lampreys
		heimo	Geotriidae	Gill, 1893	pussinahkiaiset		Pouched lampreys
		heimo	Mordaciidae	Gill, 1893	etelännahkiaiset		Southern topeyed lampreys
	MX.53087	luokka	ELASMOBRANCHII		rustokalat		Sharks and rays
3	MX.70306	lahko	Hexanchiformes		kaulushaikalat		Frill and cow sharks
		heimo	Hexanchidae	Gray, 1851	kidushait		Cow sharks
		heimo	Chlamydoselachidae	Garman, 1884	kaulushait		Frill sharks
4		lahko	Heterodontiformes		sarvihaikalat		Bullhead and horn sharks
		heimo	Heterodontidae	Gray, 1851	sarvihait		Bullhead sharks
5		lahko	Orectolobiformes		partahaikalat		Carpet sharks
		heimo	Rhincodontidae	Müller & Henle, 1841	valashait		Whale sharks
		heimo	Parascylliidae	Gill, 1862	mattohait		Collared carpet sharks
		heimo	Brachaeluridae	Applegate, 1974	sokkohait		Blind sharks
		heimo	Orectolobidae	Gill, 1896	partahait		Carpet shakrs	Nurse sharks
		heimo	Hemiscylliidae	Gill, 1862	bambuhait		Bamboo sharks
		heimo	Stegostomatidae	Gill, 1862	seeprahait		Zebra sharks
		heimo	Ginglymostomatidae	Gill, 1862	viiksihait		Nurse sharks
6	MX.53088	lahko	Lamniformes		sillihaikalat		Mackerel sharks
		heimo	Mitsukurinidae	Jordan, 1898	peikkohait		Goblin shark
		heimo	Carchariidae	Müller & Henle, 1838	hietahait		Ragged-tooth sharks
		heimo	Odontaspididae	Müller & Henle, 1839	naskalihietahait		Sand tigers
		heimo	Pseudocarchariidae	Taylor, Compagno, Truhsaker, 1983	krokotiilihait		Crocodile sharks
		heimo	Megachasmidae	Taylor, Compagno, Truhsaker, 1983	kitahait		Megamouth sharks
		heimo	Alopiidae	Bonaparte, 1835	kettuhait		Thresher sharks
		heimo	Cetorhinidae	Gill, 1861	jättiläishait		Basking sharks
	MX.53291	heimo	Lamnidae	Bonaparte, 1835	sillihait		Mackerel sharks
7	MX.70304	lahko	Carcharhiniformes		luomihaikalat		Ground sharks
		heimo	Scyliorhinidae	Gill, 1862	kissahait		Catsharks
		heimo	Atelomycteridae	White, 1936	korallikissahait		Coloured catsharks
		heimo	Pentanchidae	Smith, 1912	syvännekissahait		Deepwater catsharks
		heimo	Pseudotriakidae	Gill, 1893	okahammashait		False catsharks
		heimo	Proscylliidae	Fowler, 1941	nauhahait		Finback catsharks
		heimo	Leptochariidae	Gray, 1851	hiirihait		Barbeled houndsharks
		heimo	Triakidae	Gray, 1851	koirahait		Houndsharks
		heimo	Hemigaleidae	Hasse, 1878	kärppähait		Weasel sharks
		heimo	Carcharhinidae	Jordan & Eversmann, 1896	härkähait		Requiem sharks
		heimo	Galeocerdonidae	Poey, 1875	tiikerihait		Tiger sharks
		heimo	Sphyrnidae	Bonaparte, 1840	vasarahait		Hammerhead sharks
8	MX.53322	lahko	Squaliformes		piikkihaikalat		dogfish sharks
		heimo	Dalatiidae	Gill, 1862	leijahait	valohait	Sleeper sharks
		heimo	Etmopteridae	Gill, 1862	valohait		Lantern sharks
		heimo	Somnionidae	Gill, 1862	holkerit		Sleeper sharks
		heimo	Oxynotidae	Gill, 1862	purjehait		Rough sharks
		heimo	Centrophoridae	Gill, 1862	pistinhait		Gulper sharks
	MX.53090	heimo	Squalidae	Gill, 1862	piikkihait		Dogfish sharks
9		lahko	Echinorhiniformes		okahaikalat		
		heimo	Echinorhinidae	Gill, 1862	okahait		Bramble sharks
10		lahko	Pristiophoriformes		sahahaikalat		Saw sharks
		heimo	Pristiophoridae	Bleeker, 1859	sahahait		Saw sharks
11	MX.70309	lahko	Squatiniformes		merienkelikalat		Angel sharks
		heimo	Squatinidae	Blainville, 1816	merienkelit		Angel sharks
12	MX.70310	lahko	Torpediniformes		sähkörauskukalat		Electric rays
		heimo	Platyrhinidae	Jordan, 1923	lapiorauskut		Thornbac rays
		heimo	Narkidae	Fowler, 1934	torkkurauskut		Sleeper rays
		heimo	Narcinidae	Gill, 1862	pannusähkörauskut	pyörösähkörauskut	Numbfishes
		heimo	Hypnidae	Gill, 1862	töppörauskut		Coffin rays
		heimo	Torpedinidae	Henle, 1834	sähkörauskut		Electric rays
13		lahko	Rhinopristiformes		saharauskukalat		Sawfishes
		heimo	Trygonorrhinidae	 Last, Séret & Naylor, 2016 	banjorauskut		Fiddler rays	Banjo rays
		heimo	Rhinobatidae	Bonaparte, 1835	kitararauskut		Guitarfishes
		heimo	Rhinidae	Müller & Henle, 1841	kiilarauskut		Bowmouth rays	Wedgefishes
		heimo	Glaucostegidae	Last, Séret, Naylor, 2016	jättikitararauskut		Giant guitarfishes
		heimo	Pristidae	Bonaparte, 1835	saharauskut		Sawfishes
14	MX.70308	lahko	Rajiformes		rauskukalat		Skates and rays
		heimo	Rajidae	Blainville, 1816	rauskut		Skates
		heimo	Arhynchobatidae	Fowler, 1934	pehmorauskut		Softnose rays
		heimo	Gurgesiellidae	de Buen, 1959	rauskuset		Leg skates	Pygmy skates
		heimo	Anacanthobatidae	von Bonde & Swart,  1923	jalkarauskut		Smooth skates
				 			
15	MX.70307	lahko 	Myliobatiformes		kotkarauskukalat		
		heimo	Zanobatidae	Fowler, 1934	pannurauskut		Panrays
		heimo	Hexatrygonidae	Heemstra & Smith, 1980	nokkarauskut		Sixgill stingrays
		heimo	Dasyatidae	Jordan & Gilbert, 1879	keihäsrauskut		Stingrays
		heimo	Potamotrygonidae	Garman, 1877	jokirauskut		River stingrays
		heimo	Urotrygonidae	McEachran, Dunn, Miyake, 1996	pyörörauskut		American round stingrays
