TaxonID	TaxonRank	ScientificName	Author	SpeciesScientificName	SpeciesAuthor
MX.5103481	order	TROMBIDIFORMES			
	yläheimo	Hydrachnoidea	Leach, 1815		
	heimo	Hydrachnidae	Leach, 1815		
	suku	Hydrachna	Müller, 1776		
	suku	Hydrachna	Müller, 1777	Hydrachna conjecta	Koenike, 1895
	suku	Hydrachna	Müller, 1778	Hydrachna cruenta	Müller, 1776
	suku	Hydrachna	Müller, 1779	Hydrachna geographica	O.F.Müller, 1776 
	suku	Hydrachna	Müller, 1780	Hydrachna globosa	De Geer, 1778 
	suku	Hydrachna	Müller, 1781	Hydrachna uniscutata	Thor, 1897 
	suku	Hydrachna	Müller, 1782	Hydrachna processifera	Koenike, 1903 
	yläheimo	Eylaioidea	Leach, 1815	 	
	heimo	Limnocharidae	Grube, 1859	 	
	suku	Limnochares	Latreille, 1796	Limnochares aquatica	Linnaeus, 1758
	heimo	Eylaidae	Leach, 1815
	suku	Eylais	Latreille, 1796	 	
	suku	Eylais	Latreille, 1797	Eylais discreta	Koenike, 1897
	suku	Eylais	Latreille, 1798	Eylais extendens	(O.F.Müller, 1776)
	suku	Eylais	Latreille, 1799	Eylais hamata	Koenike, 1897
	suku	Eylais	Latreille, 1800	Eylais infundibulifera	Koenike, 1897
	suku	Eylais	Latreille, 1801	Eylais koenikei	Halbert, 1903
	suku	Eylais	Latreille, 1802	Eylais mutila	Koenike, 1897
	suku	Eylais	Latreille, 1803	Eylais setosa	Koenike, 1897
	suku	Eylais	Latreille, 1804	Eylais tantilla	Koenike, 1897
	yläheimo	Hydryphantoidea	Piersig, 1896	 	
	heimo	Hydryphantidae	Piersig, 1896	 	
	suku	Hydryphantes	Koch, 1841	 	
	suku	Hydryphantes	Koch, 1842	Hydryphantes dispar	Schaub, 1888
	suku	Hydryphantes	Koch, 1843	Hydryphantes ruber	(De Geer, 1778)
	suku	Hydryphantes	Koch, 1844	Hydryphantes placationis	Thon, 1899
	suku	Pseudohydryphantes	Viets, 1926	 	
	suku	Pseudohydryphantes	Viets, 1927	Pseudohydryphantes parvulus	Viets, 1907
	suku	Panisus	Koenike, 1896	 	
	suku	Panisus	Koenike, 1897	Panisus torrenticolus	Piersig, 1898
	suku	Thyas	Koch, 1836	 	
	suku	Thyas	Koch, 1837	Thyas barbigera	Viets, 1908
	suku	Thyas	Koch, 1838	Thyas pachystoma	Koenike, 1912
	heimo	Hydrodromidae	Viets, 1936	 	
	suku	Hydrodroma	Koch, 1837	 	
	suku	Hydrodroma	Koch, 1838	Hydrodroma despiciens	Müller, 1776
	yläheimo	Lebertioidea	Thor, 1900	 	
	heimo	Lebertiidae	Thor, 1900	 	
	suku	Lebertia	Neuman, 1880	 	
	suku	Lebertia	Neuman, 1881	Lebertia brigantina	Viets, 1933
	suku	Lebertia	Neuman, 1882	Lebertia dubia	Thor, 1899
	suku	Lebertia	Neuman, 1883	Lebertia fimbriata	Thor, 1899
	suku	Lebertia	Neuman, 1884	Lebertia inaequalis	Koch, 1837
	suku	Lebertia	Neuman, 1885	Lebertia insignis	Neuman, 1880
	suku	Lebertia	Neuman, 1886	Lebertia glabra	Thor, 1897
	suku	Lebertia	Neuman, 1887	Lebertia oudemansi	Koenike, 1898
	suku	Lebertia	Neuman, 1888	Lebertia porosa	Thor, 1900
	heimo	Oxidae	Oudemans, 1941	 	
	suku	Oxus	Kramer, 1877	 	
	suku	Oxus	Kramer, 1878	Oxus angustipositus	Viets, 1908
	suku	Oxus	Kramer, 1879	Oxus ovalis	(O.F.Müller, 1776)
	suku	Oxus	Kramer, 1880	Oxus setosus	Koenike, 1898
	suku	Frontipoda	Koenike, 1891	 	
	suku	Frontipoda	Koenike, 1892	Frontipoda carpenteri	Halbert, 1911
	suku	Frontipoda	Koenike, 1893	Frontipoda musculus	(O.F.Müller, 1776)
	heimo	Sperchontidae	Thor, 1900	 	
	suku	Sperchonopsis	Piersig, 1896	 	
	suku	Sperchonopsis	Piersig, 1897	Sperchonopsis verrucosa	(Protz, 1896)
	suku	Sperchon	Kramer, 1877	 	
	suku	Sperchon	Kramer, 1878	Sperchon brevirostris	Koenike, 1895
	suku	Sperchon	Kramer, 1879	Sperchon clupeifer	Piersig, 1896
	suku	Sperchon	Kramer, 1880	Sperchon glandulosus	Koenike, 1886
	suku	Sperchon	Kramer, 1881	Sperchon setiger	Thor, 1898
	suku	Sperchon	Kramer, 1882	Sperchon squamosus	Kramer, 1879
	suku	Sperchon	Kramer, 1883	Sperchon papillosus	Thor, 1901
	heimo	Teutoniidae	Koenike, 1910	 	
	suku	Teutonia	Koenike, 1889	 	
	suku	Teutonia	Koenike, 1890	Teutonia cometes	Koch, 1837
	suku	Teutonia	Koenike, 1891	Teutonia subalpina	Thor, 1897
	heimo	Torrenticolidae	Piersig, 1902	 	
